"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.833333333333333,0.962962962962963,0.361643835616438,0.963302752293578,0.941463414634146,0.951851851851852,0.959259259259259,0.935185185185185,0.956639566395664,0.923990498812352
"2",1,1,0.992795083704175,0.988388969521045,0.993594875900721,0.997346739282223,0.994849682596718,0.996693121693122,0.998061076102763,0.998476975452428
"3",0.941303824873707,0.988372093023256,0.975082216038452,0.925288425753629,0.979077747091807,0.983411131059246,0.982640648758236,0.982526432943795,0.984190121343336,0.87068392445157
"4",0.914357682619647,0.86074177746676,0.919716002184599,0.941070354780517,0.917592592592593,0.946520146520146,0.899819261554351,0.930343007915567,0.977909482758621,0.978846153846154
"5",0.912280701754386,0.904867256637168,0.929983060417843,0.990580847723705,0.98661800486618,0.970438328236493,0.975828111011638,0.969404186795491,0.971969166082691,0.996084402871438
"6",0.999525616698292,0.99969040247678,0.999767225325885,0.998238506253303,0.99984679025586,1,1,0.999895430304298,0.999711787875877,0.999915311653117
"7",0.7,0.737931034482759,0.691342534504391,0.945137157107232,0.721081081081081,0.660301507537688,0.568832599118943,0.985714285714286,0.931818181818182,0.95959595959596
"8",0.0853658536585366,0.0951704545454545,0.113963039014374,0.944444444444444,0.846153846153846,0.291066282420749,0.25779376498801,0.840909090909091,0.894117647058824,0.857142857142857
"9",0.967213114754098,0.96969696969697,0.976394849785408,0.889798957557707,0.975609756097561,0.980896399706098,0.971572962728996,0.891332470892626,0.977545691906005,0.980568720379147
"10",0.982300884955752,0.983050847457627,0.980132450331126,0.986254295532646,0.994011976047904,0.983739837398374,0.988217967599411,0.984375,0.983451536643026,0.988549618320611
"11",0.983050847457627,0.979942693409742,0.984234234234234,0.990476190476191,0.990521327014218,0.991836734693878,0.926724137931034,0.991649269311065,0.99624765478424,0.996621621621622
"12",0.996323529411765,0.997596153846154,0.998272884283247,0.99585635359116,0.995354239256678,0.994929006085193,0.996466431095406,0.991452991452991,0.992296918767507,0.98851308232291
"13",0.307317073170732,0.299715909090909,0.285420944558522,0.700389105058366,0.697829716193656,0.677233429394813,0.652278177458034,0.655026455026455,0.716494845360825,0.660729431721798
"14",0.962264150943396,0.207317073170732,0.170639899623588,0.975308641975309,0.969387755102041,0.977578475336323,0.160242290748899,0.973684210526316,0.985422740524781,0.975871313672922
"15",0.24,0.94,0.938461538461538,0.920529801324503,0.926315789473684,0.945378151260504,0.929936305732484,0.973262032085562,0.951100244498778,0.946428571428571
"16",1,0.992700729927007,0.994475138121547,0.99022207490885,0.988206949023586,0.993829981718464,0.996292661650856,0.995917928886024,0.998815633636005,0.99824355971897
"17",0.948157248157248,0.987341772151899,0.955698552159386,0.793425357057368,0.874184802520701,0.872759856630824,0.799347954949615,0.826563419825205,0.972772277227723,0.809585961859184
"18",0.876117496807152,0.817161716171617,0.934362934362934,0.926605504587156,0.859003831417624,0.910569105691057,0.896301188903567,0.934029425723778,0.981465136804943,0.898851590106007
"19",0.921336206896552,0.905839416058394,0.910560344827586,0.985358711566618,0.990407673860911,0.975708502024291,0.979166666666667,1,1,0.81628532974428
"20",1,0.999697885196375,1,1,0.999842569269521,0.999861572535991,0.998361908922136,1,1,1
"21",0.674033149171271,0.706185567010309,0.675642594859241,0.0587249660895237,0.603463203463203,0.834381551362683,0.0784061696658098,0.926829268292683,0.956989247311828,0.0650424189688928
"22",0.091566265060241,0.0982019363762102,0.655172413793103,0.243190661478599,0.245528455284553,0.84375,0.846153846153846,0.263657957244656,0.857142857142857,0.91304347826087
"23",0.941451990632319,0.90170380078637,0.962678375411636,0.964378801042572,0.971362229102167,0.892878163625662,0.979976442873969,0.970978848991638,0.974088713219148,0.977272727272727
"24",0.979274611398964,0.985915492957746,0.991967871485944,0.991304347826087,0.994350282485876,0.987421383647799,0.971794871794872,0.991525423728814,0.983995257854179,0.993710691823899
"25",0.983050847457627,0.983286908077994,0.980997624703088,0.981981981981982,0.986196319018405,0.990604026845638,0.992805755395683,0.989528795811518,0.995287464655985,0.99622641509434
"26",0.996389891696751,0.995215311004785,0.991452991452991,0.994505494505495,0.994246260069045,0.994954591321897,0.993794326241135,0.992266047950503,0.994397759103641,0.987928843710292
"27",0.320481927710843,0.297372060857538,0.299065420560748,0.702334630350194,0.699186991869919,0.700892857142857,0.64971098265896,0.712589073634204,0.656716417910448,0.110363391655451
"28",0.165745856353591,0.234536082474227,0.170134638922889,0.971264367816092,0.19047619047619,0.979166666666667,0.98876404494382,0.987421383647799,0.981432360742706,0.965853658536585
"29",0.237442922374429,0.946428571428571,0.975,0.927631578947368,0.921397379912664,0.96875,0.96319018404908,0.938053097345133,0.918429003021148,0.933638443935927
"30",1,0.993670886075949,0.99009900990099,0.990894308943089,0.995037904893177,0.994770350159163,0.99674574847785,0.99689578713969,0.995590121872996,0.998847313353431
"31",0.875140860942078,0.926848494403279,0.963081466896382,0.915777546973846,0.959183673469388,0.974137931034483,0.981617647058823,0.989034090909091,0.990042168368643,0.965618860510805
"32",0.870488322717622,0.831911262798635,0.937636761487965,0.935443037974684,0.964745116722249,0.946040372670807,0.97737819025522,0.948797038864898,0.952338530066815,0.972972972972973
"33",0.809802487198244,0.824665676077266,0.936708860759494,0.986567164179105,0.99030303030303,0.987866531850354,0.974188176519567,1,1,0.99585635359116
"34",0.993802567507747,1,0.999771897810219,0.998412138320395,1,0.998972118720288,0.998891966759003,0.998530936743865,1,0.999430523917995
"35",0.643540669856459,0.674044265593561,0.828125,0.648498331479422,0.641952983725136,0.644385026737968,0.685279187817259,0.980392156862745,0.745746691871456,0.987179487179487
"36",0.0256035113386979,0.606382978723404,0.772727272727273,0.245544554455446,0.888888888888889,0.875,0.833333333333333,0.862068965517241,0.245739910313901,0.909090909090909
"37",0.966666666666667,0.976671850699845,0.899302093718844,0.958067456700091,0.984375,0.961410512308716,0.966450216450216,0.980263157894737,0.964751958224543,0.985074626865672
"38",0.972677595628415,0.99492385786802,0.988142292490119,0.991501416430595,0.991501416430595,0.985054347826087,0.988205560235889,0.978487161693269,0.985687616677038,0.991383952611739
"39",0.990990990990991,0.978378378378378,0.979214780600462,0.976909413854352,0.981510015408321,0.992987377279102,0.989678899082569,0.995359628770302,0.99290060851927,0.995808885163453
"40",0.996240601503759,0.997578692493947,0.994854202401372,0.988888888888889,0.994172494172494,0.995926680244399,0.994764397905759,0.99140625,0.991471215351812,0.992948717948718
"41",0.103145574250183,0.276595744680851,0.302895322939866,0.700990099009901,0.72280701754386,0.723308270676692,0.714092140921409,0.672286617492097,0.64932735426009,0.671617161716172
"42",0.160287081339713,0.207243460764588,0.961240310077519,0.203559510567297,0.198915009041591,0.187904967602592,0.192258883248731,0.986622073578595,0.181001890359168,0.994444444444444
"43",0.92,0.981132075471698,0.958904109589041,0.401376146788991,0.952,0.962121212121212,0.938110749185668,0.946268656716418,0.933660933660934,0.942355889724311
"44",0.9875,0.986013986013986,0.990384615384615,0.992828067454933,0.992296256250845,0.993720565149137,0.995275409080433,0.997527812113721,0.997102236711039,0.997691863819965
"45",0.884097035040431,0.92967032967033,0.929292929292929,0.969924812030075,0.976878612716763,0.932232725336174,0.971014492753623,0.988944324753373,0.990100517819068,0.949656750572082
"46",0.876739562624254,0.860425531914894,0.935261707988981,0.949418604651163,0.956864564007421,0.971129707112971,0.910209102091021,0.870870870870871,0.97286432160804,0.933002481389578
"47",0.809315866084425,0.919647771051183,0.949748743718593,0.981159420289855,0.985347985347985,0.9740777666999,0.978146853146853,0.980676328502415,0.995492111194591,0.988523170203551
"48",1,1,0.998428378985182,0.999461883408072,0.999842420422313,0.98694256943676,0.999876862455363,0.987477485204563,1,0.996508379888268
"49",0.567032967032967,0.683333333333333,0.792397660818713,0.65863453815261,0.81554524361949,0.900299102691924,0.840954274353877,0.960526315789474,0.945054945054945,0.956521739130435
"50",0.0276564774381368,0.244514106583072,0.258974358974359,0.247464503042596,0.80952380952381,0.826086956521739,0.263819095477387,0.878787878787879,0.928571428571429,0.292748433303491
"51",0.962441314553991,0.972932330827068,0.96570796460177,0.960750853242321,0.959051724137931,0.971830985915493,0.958904109589041,0.980077476480354,0.970360237118103,0.972795085563844
"52",0.977272727272727,0.988235294117647,0.985257985257985,0.988269794721408,0.985754985754986,0.987432675044883,0.98923904688701,0.98716577540107,0.990892531876138,0.992869875222816
"53",0.973684210526316,0.982608695652174,0.982646420824295,0.983606557377049,0.993740219092332,0.994310099573257,0.992287917737789,0.993227990970655,0.993577981651376,0.995766299745978
"54",1,0.997635933806147,0.996638655462185,0.991758241758242,0.991916859122402,0.990936555891239,0.993832599118943,0.990528808208366,0.991465149359886,0.991612903225806
"55",0.110625909752547,0.699059561128527,0.717948717948718,0.732251521298174,0.722602739726027,0.703488372093023,0.701005025125628,0.646639511201629,0.716388616290481,0.668755595344673
"56",0.149450549450549,0.214583333333333,0.96875,0.247657295850067,0.966346153846154,0.98728813559322,0.987903225806452,0.182465753424658,0.983561643835616,0.974504249291785
"57",0.851851851851852,0.943396226415094,0.96,0.890909090909091,0.92274678111588,0.943661971830986,0.955974842767296,0.950819672131147,0.94300518134715,0.935643564356436
"58",0.984322033898305,0.989139515455305,0.994252873563218,0.991546494281452,0.995095440084836,0.99685534591195,0.995994506752117,0.996173355877903,0.997030504814182,0.997020565365889
"59",0.879310344827586,0.963855421686747,0.922854164253446,0.925292784284095,0.964285714285714,0.965811965811966,0.96309963099631,0.978328173374613,0.987525354969574,0.989691687751851
"60",0.913319238900634,0.931345980126468,0.885026737967914,0.919578480310593,0.942100538599641,0.965959004392387,0.964589717398706,0.985289200936142,0.951950523311132,0.962821734985701
"61",0.913793103448276,0.959459459459459,0.968565815324165,0.984779299847793,0.990111248454883,0.990566037735849,0.977653631284916,0.968680089485459,0.820640987944722,0.988961038961039
"62",0.9933598937583,0.999696233292831,0.999763313609467,0.999815532189633,1,0.999859943977591,0.996993210475267,0.999670727691801,1,0.999731999285331
"63",0.634005763688761,0.623684210526316,0.89662447257384,0.900326797385621,0.655913978494624,0.853598014888337,0.984126984126984,0.962025316455696,0.738685344827586,0.954545454545455
"64",0.0983606557377049,0.271477663230241,0.866666666666667,0.931034482758621,0.26813880126183,0.866666666666667,0.891891891891892,0.282110091743119,0.886792452830189,0.867924528301887
"65",0.960739030023095,0.955993930197269,0.885196374622356,0.886232481450948,0.965917331399565,0.947210557888422,0.949973390101118,0.894347826086957,0.961084390030608,0.982228626320845
"66",0.983606557377049,0.994791666666667,0.995670995670996,0.994269340974212,0.991404011461318,0.992555831265509,0.988086373790022,0.985026041666667,0.984329657573999,0.984251968503937
"67",0.982456140350877,0.977777777777778,0.984749455337691,0.961165048543689,0.955912649361351,0.991440798858773,0.99288256227758,0.995811518324607,0.993512511584801,0.994112699747687
"68",0.996309963099631,0.995294117647059,0.99830220713073,0.994475138121547,0.990740740740741,0.990954773869347,0.992901508429459,0.993584603047314,0.99078667611623,0.990996784565916
"69",0.339578454332553,0.683848797250859,0.692708333333333,0.71900826446281,0.670347003154574,0.682561307901907,0.711513583441138,0.694954128440367,0.106586298147604,0.714686623012161
"70",0.190201729106628,0.25,0.966101694915254,0.986842105263158,0.212121212121212,0.982456140350877,0.980988593155893,0.2339514978602,0.205280172413793,0.97027027027027
"71",0.289308176100629,0.932203389830508,0.879194630872483,0.924242424242424,0.910569105691057,0.927480916030534,0.940594059405941,0.952702702702703,0.934939759036145,0.921739130434783
"72",0.986075949367089,0.98872921949845,0.990444536767761,0.991704757067886,0.992858087554556,0.994033960532354,0.995004995004995,0.992452182863024,0.996960486322188,0.995979322228604
"73",0.980529595015576,0.954998392799743,0.911420036764706,0.854638734501924,0.806356443610031,0.957805907172996,0.870269394806457,0.951182876455126,0.820038160191613,0.806988352745424
"74",0.800362976406534,0.953422053231939,0.895874263261297,0.793155893536122,0.877637130801688,0.957649092480553,0.942233632862644,0.906910039113429,0.963592233009709,0.938522777532065
"75",0.790896159317212,0.980874316939891,0.922324823465508,0.989457831325301,0.990554899645809,0.953328981723238,0.991803278688525,0.996589940323956,1,0.997402597402597
"76",1,0.999691358024691,0.999526066350711,0.998754226730735,0.999842717835797,0.999862844602935,0.999431947284708,1,1,1
"77",0.535947712418301,0.573232323232323,0.854452054794521,0.747464503042596,0.105345911949686,0.684041700080192,0.984615384615385,0.959459459459459,0.965116279069767,0.934782608695652
"78",0.0291607396870555,0.259375,0.313019390581717,0.250460405156538,0.243491577335375,0.888888888888889,0.888888888888889,0.443037974683544,0.87037037037037,0.886792452830189
"79",0.956018518518518,0.973941368078176,0.954904171364149,0.966475095785441,0.961383748994369,0.972658920027341,0.959584295612009,0.975507765830346,0.976703296703297,0.983640081799591
"80",0.982758620689655,0.988636363636364,0.985483870967742,0.993957703927492,0.989094874591058,0.985862393967955,0.980797636632201,0.988544474393531,0.987704918032787,0.985795454545455
"81",0.982683982683983,0.978319783197832,0.967741935483871,0.977326968973747,0.971830985915493,0.99070385126162,0.984971098265896,0.99546485260771,0.998163452708907,0.995008319467554
"82",1,0.995283018867924,0.993115318416523,0.993074792243767,0.990740740740741,0.987951807228916,0.991228070175439,0.9875,0.99083215796897,0.987944162436548
"83",0.115931721194879,0.6875,0.6398891966759,0.677716390423573,0.693721286370597,0.688365650969529,0.724759615384615,0.705756929637527,0.740118577075099,0.718498659517426
"84",0.245098039215686,0.262626262626263,0.983606557377049,0.976744186046512,0.966981132075472,0.987179487179487,0.24129746835443,0.968051118210863,0.9765625,0.970588235294118
"85",0.5625,0.365671641791045,0.873417721518987,0.897590361445783,0.936507936507937,0.929368029739777,0.924698795180723,0.944598337950138,0.922077922077922,0.930379746835443
"86",0.984140591513073,0.986374565856265,0.989769307923771,0.991764705882353,0.992331085548063,0.994431185361973,0.994979241092981,0.99698314108252,0.996407185628743,0.997579948141746
"87",0.932199385778408,0.953856187836295,0.968503937007874,0.970325526002382,0.953051643192488,0.811199264114062,0.821869757511057,0.87142509135201,0.881298449612403,0.879120012616307
"88",0.897371714643304,0.920560747663551,0.950713359273671,0.966759002770083,0.919834710743802,0.945301542776999,0.928788800973828,0.960322024151811,0.921416234887737,0.96248436848687
"89",0.904811715481172,0.780815569972196,0.932250839865622,0.986259541984733,0.98586118251928,0.962025316455696,0.974600188146754,0.977586206896552,0.993827160493827,0.990154109589041
"90",1,0.999693439607603,0.998462552163409,0.999813432835821,1,0.999866488651535,0.999875233936369,1,0.999906129728715,0.999915095941586
"91",0.523316062176166,0.560679611650485,0.765765765765766,0.758229284903519,0.609680741503605,0.984615384615385,0.986111111111111,0.986842105263158,0.954022988505747,0.934579439252336
"92",0.0973451327433628,0.036144578313253,0.102459016393443,0.905660377358491,0.846153846153846,0.904761904761905,0.875,0.875,0.87037037037037,0.290379523389232
"93",0.959036144578313,0.956217162872154,0.97283950617284,0.966202783300199,0.968855218855219,0.969895287958115,0.968364611260054,0.977080219232686,0.978227060653188,0.974371859296482
"94",0.980582524271845,0.906374501992032,0.98389694041868,0.986318407960199,0.942173479561316,0.986437613019892,0.983720930232558,0.985333333333333,0.98433734939759,0.991680532445923
"95",0.986046511627907,0.977564102564103,0.984547461368653,0.958801498127341,0.982986767485822,0.994572591587517,0.992941176470588,0.997722095671982,0.99438202247191,0.993226079593565
"96",0.996212121212121,0.985915492957746,0.996478873239437,0.992947813822285,0.989461358313817,0.994871794871795,0.991103202846975,0.993660855784469,0.996402877697842,0.992926045016077
"97",0.375,0.110287303058387,0.314549180327869,0.742331288343558,0.672592592592593,0.662303664921466,0.66815144766147,0.664984863773966,0.665477252453167,0.698146513680494
"98",0.186528497409326,0.254854368932039,0.983333333333333,0.994011976047904,0.230690010298661,0.987551867219917,0.985401459854015,0.969230769230769,0.985294117647059,0.974025974025974
"99",0.863636363636364,0.929824561403509,0.89171974522293,0.887005649717514,0.913223140495868,0.930656934306569,0.935975609756098,0.96011396011396,0.925438596491228,0.938325991189427
"100",0.989010989010989,0.986987270155587,0.990336134453782,0.991282894736842,0.992849576271186,0.991830912863071,0.995874161939144,0.99740500463392,0.995409149484536,0.998348017621145
"101",0.969234617308654,1,0.907757051865332,0.899694957832406,0.956284153005464,0.972350230414747,0.955399483762531,0.978193146417445,0.968481375358166,0.974358974358974
"102",0.87979797979798,0.936073059360731,0.866371120962635,0.959746981023577,0.956913827655311,0.960559796437659,0.977867203219316,0.975126050420168,0.984184914841849,0.974183750949127
"103",0.908787541713014,0.898637602179836,0.980036297640653,0.981873111782477,0.98578811369509,0.989754098360656,0.810357403355215,1,0.993562231759657,1
"104",0.996863799283154,1,1,1,1,1,0.998634501593081,1,1,0.999914361565471
"105",0.612377850162866,0.541737649063032,0.904950495049505,1,0.797309417040359,0.953846153846154,0.756806930693069,0.986111111111111,0.967032967032967,0.961904761904762
"106",0.0901960784313725,0.250746268656716,0.258205689277899,0.921875,0.846153846153846,0.904761904761905,0.904761904761905,0.893617021276596,0.851851851851852,0.888888888888889
"107",0.972772277227723,0.958477508650519,0.873716632443532,0.916666666666667,0.96969696969697,0.952262864228146,0.976668826960467,0.908163265306122,0.976943942133816,0.985160363810436
"108",0.994736842105263,1,0.989113530326594,0.986746987951807,0.994962216624685,0.983732876712329,0.989481592787378,0.99331550802139,0.977521263669502,0.991339491916859
"109",0.990291262135922,0.984423676012461,0.986175115207373,0.986590038314176,0.983922829581994,0.995918367346939,0.99290780141844,0.994444444444444,0.994041708043694,0.99660441426146
"110",1,0.995305164319249,0.994818652849741,0.997175141242938,0.996499416569428,0.991894630192503,0.993777777777778,0.995226730310263,0.994256999282125,0.992948717948718
"111",0.335294117647059,0.665671641791045,0.667396061269147,0.766315789473684,0.714738510301109,0.719041278295606,0.112691466083151,0.648596321393998,0.708728652751423,0.72007200720072
"112",0.257328990228013,0.981132075471698,0.952054794520548,0.994219653179191,0.990566037735849,0.995833333333333,0.982078853046595,0.990033222591362,0.983827493261456,0.981627296587926
"113",0.896551724137931,0.900900900900901,0.930379746835443,0.915343915343915,0.936440677966102,0.943609022556391,0.950877192982456,0.940251572327044,0.9375,0.925233644859813
"114",0.983930778739184,0.987045203969129,0.991949152542373,0.993055555555556,0.993982647635041,0.994843588862152,0.996163019807114,0.996218090135518,0.997482376636455,0.997742255937867
"115",0.970542231491137,1,0.992957746478873,0.907439525330899,0.932629618131015,0.906054951418828,0.874566160520607,0.821011848447988,0.984251968503937,0.814306068023235
"116",0.784788245462403,0.936479128856624,0.888888888888889,0.952782462057336,0.959529411764706,0.964830508474576,0.919478981645944,0.926330150068213,0.984622777510812,0.942741208295762
"117",0.804379562043796,0.91198224852071,0.98886827458256,0.976505139500734,0.982456140350877,0.991351351351351,0.99343339587242,0.9912,0.99768875192604,0.99670836076366
"118",0.987873538328281,0.999696233292831,1,0.999816176470588,0.999845679012346,0.999866719978675,1,1,1,0.999915175163288
"119",0.646017699115044,0.674486803519062,0.711323763955343,0.831353919239905,0.891779396462019,0.927522037218413,0.890804597701149,0.0685678244807857,0.851008458035133,0.910112359550562
"120",0.60377358490566,0.109395109395109,0.9,0.90625,0.866666666666667,0.928571428571429,0.878048780487805,0.9,0.862068965517241,0.870967741935484
"121",0.962406015037594,0.955516014234875,0.965556831228473,0.956561085972851,0.961538461538462,0.871315192743764,0.965593784683685,0.970326409495549,0.974797479747975,0.963439132181599
"122",0.98671096345515,0.996296296296296,0.984615384615385,0.98828125,0.989929506545821,0.982805429864253,0.983223924142961,0.984868421052632,0.991693290734824,0.989522700814901
